Epoch 1:   1%|          | 17/3327 [00:07<24:30,  2.25it/s, loss=3.7404, NCE=3.3263, mu=0.820, var=0.550, cov=0.000, σ²i=0.740]
Epoch 1:   1%|          | 17/3327 [00:08<24:30,  2.25it/s, loss=3.7069, NCE=3.3032, mu=0.799, var=0.547, cov=0.000, σ²i=0.738]
Epoch 1:   1%|          | 18/3327 [00:08<23:19,  2.36it/s, loss=3.7069, NCE=3.3032, mu=0.799, var=0.547, cov=0.000, σ²i=0.738]
Epoch 1:   1%|          | 18/3327 [00:08<23:19,  2.36it/s, loss=3.7360, NCE=3.3378, mu=0.788, var=0.544, cov=0.000, σ²i=0.737]
Epoch 1:   1%|          | 19/3327 [00:08<22:32,  2.45it/s, loss=3.7360, NCE=3.3378, mu=0.788, var=0.544, cov=0.000, σ²i=0.737]
Epoch 1:   1%|          | 19/3327 [00:08<22:32,  2.45it/s, loss=3.6888, NCE=3.2977, mu=0.774, var=0.537, cov=0.000, σ²i=0.733]
Epoch 1:   1%|          | 20/3327 [00:08<21:54,  2.52it/s, loss=3.6888, NCE=3.2977, mu=0.774, var=0.537, cov=0.000, σ²i=0.733]
Epoch 1:   1%|          | 20/3327 [00:09<21:54,  2.52it/s, loss=3.7247, NCE=3.3385, mu=0.764, var=0.535, cov=0.000, σ²i=0.732]
Epoch 1:   1%|          | 21/3327 [00:09<21:28,  2.57it/s, loss=3.7247, NCE=3.3385, mu=0.764, var=0.535, cov=0.000, σ²i=0.732]
Epoch 1:   1%|          | 21/3327 [00:09<21:28,  2.57it/s, loss=3.6456, NCE=3.2673, mu=0.748, var=0.534, cov=0.000, σ²i=0.730]
Epoch 1:   1%|          | 22/3327 [00:09<22:51,  2.41it/s, loss=3.6456, NCE=3.2673, mu=0.748, var=0.534, cov=0.000, σ²i=0.730]
Epoch 1:   1%|          | 22/3327 [00:10<22:51,  2.41it/s, loss=3.6370, NCE=3.2647, mu=0.736, var=0.527, cov=0.000, σ²i=0.726]
Epoch 1:   1%|          | 23/3327 [00:10<22:09,  2.48it/s, loss=3.6370, NCE=3.2647, mu=0.736, var=0.527, cov=0.000, σ²i=0.726]
Epoch 1:   1%|          | 23/3327 [00:10<22:09,  2.48it/s, loss=3.6432, NCE=3.2743, mu=0.730, var=0.520, cov=0.000, σ²i=0.722]
Epoch 1:   1%|          | 24/3327 [00:10<21:39,  2.54it/s, loss=3.6432, NCE=3.2743, mu=0.730, var=0.520, cov=0.000, σ²i=0.722]
Epoch 1:   1%|          | 24/3327 [00:11<21:39,  2.54it/s, loss=3.5614, NCE=3.2006, mu=0.713, var=0.519, cov=0.000, σ²i=0.721]
Epoch 1:   1%|          | 25/3327 [00:11<23:39,  2.33it/s, loss=3.5614, NCE=3.2006, mu=0.713, var=0.519, cov=0.000, σ²i=0.721]
Epoch 1:   1%|          | 25/3327 [00:11<23:39,  2.33it/s, loss=3.5994, NCE=3.2464, mu=0.697, var=0.508, cov=0.000, σ²i=0.715]
Epoch 1:   1%|          | 26/3327 [00:11<22:44,  2.42it/s, loss=3.5994, NCE=3.2464, mu=0.697, var=0.508, cov=0.000, σ²i=0.715]
Epoch 1:   1%|          | 26/3327 [00:11<22:44,  2.42it/s, loss=3.5894, NCE=3.2397, mu=0.691, var=0.505, cov=0.000, σ²i=0.713]
Epoch 1:   1%|          | 27/3327 [00:11<22:06,  2.49it/s, loss=3.5894, NCE=3.2397, mu=0.691, var=0.505, cov=0.000, σ²i=0.713]
Epoch 1:   1%|          | 27/3327 [00:12<22:06,  2.49it/s, loss=3.5932, NCE=3.2469, mu=0.684, var=0.499, cov=0.000, σ²i=0.708]
Epoch 1:   1%|          | 28/3327 [00:12<21:40,  2.54it/s, loss=3.5932, NCE=3.2469, mu=0.684, var=0.499, cov=0.000, σ²i=0.708]
Epoch 1:   1%|          | 28/3327 [00:12<21:40,  2.54it/s, loss=3.5247, NCE=3.1879, mu=0.665, var=0.494, cov=0.000, σ²i=0.705]
Epoch 1:   1%|          | 29/3327 [00:12<22:21,  2.46it/s, loss=3.5247, NCE=3.1879, mu=0.665, var=0.494, cov=0.000, σ²i=0.705]
Epoch 1:   1%|          | 29/3327 [00:13<22:21,  2.46it/s, loss=3.5345, NCE=3.2013, mu=0.658, var=0.487, cov=0.000, σ²i=0.700]
Epoch 1:   1%|          | 30/3327 [00:13<23:34,  2.33it/s, loss=3.5345, NCE=3.2013, mu=0.658, var=0.487, cov=0.000, σ²i=0.700]
Epoch 1:   1%|          | 30/3327 [00:13<23:34,  2.33it/s, loss=3.4861, NCE=3.1580, mu=0.647, var=0.477, cov=0.000, σ²i=0.695]
Epoch 1:   1%|          | 31/3327 [00:13<22:38,  2.43it/s, loss=3.4861, NCE=3.1580, mu=0.647, var=0.477, cov=0.000, σ²i=0.695]
Epoch 1:   1%|          | 31/3327 [00:13<22:38,  2.43it/s, loss=3.5328, NCE=3.2064, mu=0.644, var=0.471, cov=0.000, σ²i=0.690]
Epoch 1:   1%|          | 32/3327 [00:13<21:57,  2.50it/s, loss=3.5328, NCE=3.2064, mu=0.644, var=0.471, cov=0.000, σ²i=0.690]
Epoch 1:   1%|          | 32/3327 [00:14<21:57,  2.50it/s, loss=3.4906, NCE=3.1709, mu=0.630, var=0.463, cov=0.000, σ²i=0.685]
Epoch 1:   1%|          | 33/3327 [00:14<24:05,  2.28it/s, loss=3.4906, NCE=3.1709, mu=0.630, var=0.463, cov=0.000, σ²i=0.685]
Epoch 1:   1%|          | 33/3327 [00:14<24:05,  2.28it/s, loss=3.5708, NCE=3.2522, mu=0.628, var=0.455, cov=0.000, σ²i=0.680]
Epoch 1:   1%|          | 34/3327 [00:14<23:03,  2.38it/s, loss=3.5708, NCE=3.2522, mu=0.628, var=0.455, cov=0.000, σ²i=0.680]
Epoch 1:   1%|          | 34/3327 [00:15<23:03,  2.38it/s, loss=3.5040, NCE=3.1905, mu=0.617, var=0.455, cov=0.000, σ²i=0.678]
Epoch 1:   1%|          | 35/3327 [00:15<22:46,  2.41it/s, loss=3.5040, NCE=3.1905, mu=0.617, var=0.455, cov=0.000, σ²i=0.678]
Epoch 1:   1%|          | 35/3327 [00:15<22:46,  2.41it/s, loss=3.4392, NCE=3.1361, mu=0.596, var=0.443, cov=0.000, σ²i=0.671]
Epoch 1:   1%|          | 36/3327 [00:15<22:04,  2.48it/s, loss=3.4392, NCE=3.1361, mu=0.596, var=0.443, cov=0.000, σ²i=0.671]
Epoch 1:   1%|          | 36/3327 [00:15<22:04,  2.48it/s, loss=3.4435, NCE=3.1450, mu=0.587, var=0.436, cov=0.000, σ²i=0.666]
Epoch 1:   1%|          | 37/3327 [00:15<21:36,  2.54it/s, loss=3.4435, NCE=3.1450, mu=0.587, var=0.436, cov=0.000, σ²i=0.666]
Epoch 1:   1%|          | 37/3327 [00:16<21:36,  2.54it/s, loss=3.4523, NCE=3.1543, mu=0.586, var=0.432, cov=0.000, σ²i=0.665]
Epoch 1:   1%|          | 38/3327 [00:16<22:57,  2.39it/s, loss=3.4523, NCE=3.1543, mu=0.586, var=0.432, cov=0.000, σ²i=0.665]
Epoch 1:   1%|          | 38/3327 [00:16<22:57,  2.39it/s, loss=3.4120, NCE=3.1250, mu=0.564, var=0.425, cov=0.000, σ²i=0.657]
Epoch 1:   1%|          | 39/3327 [00:16<22:38,  2.42it/s, loss=3.4120, NCE=3.1250, mu=0.564, var=0.425, cov=0.000, σ²i=0.657]
Epoch 1:   1%|          | 39/3327 [00:17<22:38,  2.42it/s, loss=3.4134, NCE=3.1205, mu=0.575, var=0.421, cov=0.000, σ²i=0.654]
Epoch 1:   1%|          | 40/3327 [00:17<21:59,  2.49it/s, loss=3.4134, NCE=3.1205, mu=0.575, var=0.421, cov=0.000, σ²i=0.654]
Epoch 1:   1%|          | 40/3327 [00:17<21:59,  2.49it/s, loss=3.3931, NCE=3.1043, mu=0.567, var=0.411, cov=0.000, σ²i=0.647]
Epoch 1:   1%|          | 41/3327 [00:17<24:22,  2.25it/s, loss=3.3931, NCE=3.1043, mu=0.567, var=0.411, cov=0.000, σ²i=0.647]
